"No.","Time","Source","Destination","Protocol","Length","Info"
"292","17.373314","142.250.183.35","10.0.0.216","QUIC","71","Protected Payload (KP0)"
"293","17.406893","10.0.0.216","142.250.183.35","QUIC","74","Protected Payload (KP0), DCID=ebd37ec6c7e0d86a"
"294","17.457695","52.98.1.226","10.0.0.216","TCP","60","443  >  60132 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"295","17.470947","142.250.183.35","10.0.0.216","QUIC","606","Protected Payload (KP0)"
"296","17.471332","10.0.0.216","142.250.183.35","QUIC","89","Protected Payload (KP0), DCID=ebd37ec6c7e0d86a"
"297","17.472942","142.250.183.35","10.0.0.216","QUIC","63","Protected Payload (KP0)"
"298","17.485837","142.250.183.35","10.0.0.216","QUIC","70","Protected Payload (KP0)"
"299","17.486027","10.0.0.216","142.250.183.35","QUIC","73","Protected Payload (KP0), DCID=ebd37ec6c7e0d86a"
"300","18.293715","1c:1d:d3:e2:c5:9f","Broadcast","ARP","60","Who has 169.254.1.0? Tell 10.0.0.102"
"301","18.300571","b6:47:fa:08:35:61","Broadcast","ARP","60","Who has 169.254.1.0? Tell 10.0.0.88"
"302","19.426510","10.0.0.102","10.0.0.255","UDP","348","49718  >  5002 Len=306"
"303","19.432621","10.0.0.88","10.0.0.255","UDP","348","51245  >  5002 Len=306"
"304","19.836976","10.0.0.216","23.218.42.32","UDP","71","55931  >  443 Len=29"
"305","19.867885","10.0.0.216","23.218.42.32","UDP","71","55931  >  443 Len=29"
"306","19.869414","23.218.42.32","10.0.0.216","UDP","66","443  >  55931 Len=24"
"307","19.870024","23.218.42.32","10.0.0.216","UDP","67","443  >  55931 Len=25"
"308","19.898853","10.0.0.216","140.82.114.25","TCP","55","61058  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1 [TCP segment of a reassembled PDU]"
"309","20.110922","140.82.114.25","10.0.0.216","TCP","66","443  >  61058 [ACK] Seq=1 Ack=2 Win=76 Len=0 SLE=1 SRE=2"
"310","20.185041","10.0.0.216","162.159.134.233","TCP","55","61925  >  443 [ACK] Seq=1 Ack=1 Win=253 Len=1 [TCP segment of a reassembled PDU]"
"311","20.187433","162.159.134.233","10.0.0.216","TCP","66","443  >  61925 [ACK] Seq=1 Ack=2 Win=16 Len=0 SLE=1 SRE=2"
"312","20.308761","10.0.0.216","142.251.42.106","UDP","71","56813  >  443 Len=29"
"313","20.348711","142.251.42.106","10.0.0.216","UDP","66","443  >  56813 Len=24"
"314","20.840400","172.64.148.235","10.0.0.216","TLSv1.2","78","Application Data"
"315","20.840568","10.0.0.216","172.64.148.235","TLSv1.2","82","Application Data"
"316","20.842490","172.64.148.235","10.0.0.216","TCP","60","443  >  60567 [ACK] Seq=49 Ack=57 Win=16 Len=0"
"317","20.886601","10.0.0.75","224.0.0.251","MDNS","123","Standard query response 0x0000 PTR 94546AC5-062B-49F0-B10A-20BB4364BA52._asquic._udp.local"
"318","20.887370","fe80::14fb:4c16:cbe9:76d4","ff02::fb","MDNS","143","Standard query response 0x0000 PTR 94546AC5-062B-49F0-B10A-20BB4364BA52._asquic._udp.local"
"319","21.833544","23.218.42.32","10.0.0.216","UDP","110","443  >  55931 Len=68"
"320","22.040117","10.0.0.216","13.227.180.4","TLSv1.2","1014","Ignored Unknown Record"
"321","22.040147","10.0.0.216","13.227.180.4","TLSv1.2","93","Application Data"
"322","22.040687","10.0.0.216","142.251.222.14","UDP","641","49573  >  443 Len=599"
"323","22.040894","10.0.0.216","142.251.222.14","UDP","275","49573  >  443 Len=233"
"324","22.041806","fe80::8d08:7b:e2d8:e6b3","fe80::1213:31ff:fea5:3d7c","TCP","86","62019  >  53 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 WS=256 SACK_PERM"
"325","22.041948","fe80::8d08:7b:e2d8:e6b3","fe80::1213:31ff:fea5:3d7c","TCP","86","62020  >  53 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 WS=256 SACK_PERM"
"326","22.042790","fe80::1213:31ff:fea5:3d7c","fe80::8d08:7b:e2d8:e6b3","TCP","86","53  >  62019 [SYN, ACK] Seq=0 Ack=1 Win=14400 Len=0 MSS=1440 SACK_PERM WS=32"
"327","22.042856","fe80::8d08:7b:e2d8:e6b3","fe80::1213:31ff:fea5:3d7c","TCP","74","62019  >  53 [ACK] Seq=1 Ack=1 Win=66048 Len=0"
"328","22.043217","fe80::8d08:7b:e2d8:e6b3","fe80::1213:31ff:fea5:3d7c","TCP","76","62019  >  53 [PSH, ACK] Seq=1 Ack=1 Win=66048 Len=2 [TCP segment of a reassembled PDU]"
"329","22.043232","fe80::8d08:7b:e2d8:e6b3","fe80::1213:31ff:fea5:3d7c","DNS","107","Standard query 0x4fe2 HTTPS play.google.com"
"330","22.043294","fe80::1213:31ff:fea5:3d7c","fe80::8d08:7b:e2d8:e6b3","TCP","86","53  >  62020 [SYN, ACK] Seq=0 Ack=1 Win=14400 Len=0 MSS=1440 SACK_PERM WS=32"
"331","22.043325","fe80::8d08:7b:e2d8:e6b3","fe80::1213:31ff:fea5:3d7c","TCP","74","62020  >  53 [ACK] Seq=1 Ack=1 Win=66048 Len=0"
"332","22.043429","fe80::8d08:7b:e2d8:e6b3","fe80::1213:31ff:fea5:3d7c","TCP","76","62020  >  53 [PSH, ACK] Seq=1 Ack=1 Win=66048 Len=2 [TCP segment of a reassembled PDU]"
"333","22.043449","fe80::8d08:7b:e2d8:e6b3","fe80::1213:31ff:fea5:3d7c","DNS","107","Standard query 0x76b7 A play.google.com"
"334","22.043951","fe80::1213:31ff:fea5:3d7c","fe80::8d08:7b:e2d8:e6b3","TCP","74","53  >  62019 [ACK] Seq=1 Ack=3 Win=14400 Len=0"
"335","22.044383","fe80::1213:31ff:fea5:3d7c","fe80::8d08:7b:e2d8:e6b3","TCP","74","53  >  62019 [ACK] Seq=1 Ack=36 Win=14400 Len=0"
"336","22.044882","fe80::1213:31ff:fea5:3d7c","fe80::8d08:7b:e2d8:e6b3","TCP","74","53  >  62020 [ACK] Seq=1 Ack=3 Win=14400 Len=0"
"337","22.045281","fe80::1213:31ff:fea5:3d7c","fe80::8d08:7b:e2d8:e6b3","TCP","74","53  >  62020 [ACK] Seq=1 Ack=36 Win=14400 Len=0"
"338","22.045350","13.227.180.4","10.0.0.216","TCP","60","443  >  61984 [ACK] Seq=1 Ack=962 Win=157 Len=0"
"339","22.045413","13.227.180.4","10.0.0.216","TCP","60","443  >  61984 [ACK] Seq=1 Ack=1001 Win=157 Len=0"
"340","22.045506","13.227.180.4","10.0.0.216","TLSv1.2","93","Application Data"
"341","22.049410","10.0.0.216","142.250.195.106","QUIC","1292","Initial, DCID=ca6b797c5c5eeae9, PKN: 1, PING, CRYPTO, PING, CRYPTO, PING"
"342","22.049444","10.0.0.216","142.250.195.106","QUIC","1292","Initial, DCID=ca6b797c5c5eeae9, PKN: 2, PING, CRYPTO, PING"
"343","22.049577","10.0.0.216","142.250.195.106","QUIC","122","0-RTT, DCID=ca6b797c5c5eeae9"
"344","22.060072","142.251.222.14","10.0.0.216","UDP","78","443  >  49573 Len=36"
"345","22.065952","142.250.195.106","10.0.0.216","QUIC","82","Initial, SCID=ea6b797c5c5eeae9, PKN: 1, ACK"
"346","22.066177","10.0.0.216","142.251.222.14","UDP","75","49573  >  443 Len=33"
"347","22.067209","142.250.195.106","10.0.0.216","QUIC","1292","Initial, SCID=ea6b797c5c5eeae9, PKN: 2, ACK, PADDING"
"348","22.074301","fe80::1213:31ff:fea5:3d7c","fe80::8d08:7b:e2d8:e6b3","DNS","159","Standard query response 0x4fe2 HTTPS play.google.com SOA ns1.google.com"
"349","22.074419","fe80::8d08:7b:e2d8:e6b3","fe80::1213:31ff:fea5:3d7c","TCP","74","62019  >  53 [FIN, ACK] Seq=36 Ack=86 Win=66048 Len=0"
"350","22.075477","fe80::1213:31ff:fea5:3d7c","fe80::8d08:7b:e2d8:e6b3","TCP","74","53  >  62019 [FIN, ACK] Seq=86 Ack=37 Win=14400 Len=0"
"351","22.075502","fe80::8d08:7b:e2d8:e6b3","fe80::1213:31ff:fea5:3d7c","TCP","74","62019  >  53 [ACK] Seq=37 Ack=87 Win=66048 Len=0"
"352","22.078499","fe80::1213:31ff:fea5:3d7c","fe80::8d08:7b:e2d8:e6b3","DNS","125","Standard query response 0x76b7 A play.google.com A 142.250.195.174"
"353","22.079382","fe80::8d08:7b:e2d8:e6b3","fe80::1213:31ff:fea5:3d7c","TCP","74","62020  >  53 [FIN, ACK] Seq=36 Ack=52 Win=66048 Len=0"
"354","22.080002","10.0.0.216","142.250.195.174","QUIC","1292","Initial, DCID=a6f9317ddbfd67a5, PKN: 1, PING, PING, PING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PING, CRYPTO, CRYPTO, PADDING, PING, PADDING, CRYPTO, CRYPTO, CRYPTO, PING, PING, CRYPTO"
"355","22.080039","10.0.0.216","142.250.195.174","QUIC","1292","Initial, DCID=a6f9317ddbfd67a5, PKN: 2, PING, PING, PING, PING, PING, CRYPTO, PING, CRYPTO, PING, CRYPTO, CRYPTO, CRYPTO, PADDING, PING, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, CRYPTO, PING"
"356","22.080206","10.0.0.216","142.250.195.174","QUIC","121","0-RTT, DCID=a6f9317ddbfd67a5"
"357","22.083090","fe80::1213:31ff:fea5:3d7c","fe80::8d08:7b:e2d8:e6b3","TCP","74","53  >  62020 [FIN, ACK] Seq=52 Ack=37 Win=14400 Len=0"
