"No.","Time","Source","Destination","Protocol","Length","Info"
"10039","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1466229 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10050]"
"10040","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10041","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [PSH, ACK] Seq=1467479 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10050]"
"10042","0.000000000","142.250.195.142","118.138.122.172","QUIC","976","Protected Payload (KP0)"
"10043","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1468729 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10050]"
"10044","0.000000000","142.250.195.142","118.138.122.172","QUIC","1285","Protected Payload (KP0)"
"10045","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1469979 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10050]"
"10046","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10047","0.000272100","118.138.122.172","3.163.189.78","TCP","54","42147  >  443 [ACK] Seq=4052 Ack=1471229 Win=2096896 Len=0"
"10048","0.000298700","118.138.122.172","142.250.195.142","QUIC","74","Protected Payload (KP0), DCID=ed814b963f91763d"
"10049","0.000094300","118.138.122.172","142.250.195.142","QUIC","74","Protected Payload (KP0), DCID=ed814b963f91763d"
"10050","0.001438000","3.163.189.78","118.138.122.172","TLSv1.3","1304","Application Data"
"10051","0.000000000","3.163.189.78","118.138.122.172","TLSv1.3","1304","Application Data"
"10052","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [PSH, ACK] Seq=1473729 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10053]"
"10053","0.000000000","3.163.189.78","118.138.122.172","TLSv1.3","1304","Application Data"
"10054","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10055","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1476229 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10078]"
"10056","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10057","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1477479 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10078]"
"10058","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10059","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1478729 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10078]"
"10060","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
